Process ID=1508,Messaging Broker Name=AISEmbeddedBroker,Broker Memory Limit=52428800,Broker Store Limit=1073741824
Time,CPU Usage,Threads,Handles,Private Bytes,Virtual Bytes,Available Bytes,Broker Memory Usage,Broker Store Usage,Total Messages Enqueued,Total Messages Dequeued,Number of Pending Messages,Number of Queues,Number of Topics,Total CPU Usage, Process - IO Read Operations/sec, Process - IO Write Operations/sec, System - File Read Operations/sec, System - File Write Operations/sec
2017-Feb-06 18:07:51.070,13.027,59,1231,862842880,7941062656,27225522176,0,1,0,0,0,0,0,37.551,241,6,337,30
2017-Feb-06 18:08:01.249,11.954,59,1231,863727616,7941062656,27162968064,0,1,0,0,0,0,0,80.156,249,6,1543,701
2017-Feb-06 18:08:11.428,13.640,59,1231,864796672,7941062656,27138650112,0,1,0,0,0,0,0,66.056,264,7,762,73
2017-Feb-06 18:08:21.607,13.946,59,1231,865865728,7941062656,27120295936,0,1,0,0,0,0,0,28.968,273,6,295,12
2017-Feb-06 18:08:31.787,13.027,59,1231,866824192,7941062656,27100962816,0,1,0,0,0,0,0,28.662,237,6,271,30
2017-Feb-06 18:08:41.982,9.487,59,1231,867577856,7957643264,27072106496,0,1,0,0,0,0,0,31.230,203,6,285,27
2017-Feb-06 18:08:52.161,9.808,59,1231,868425728,7957643264,27066048512,0,1,0,0,0,0,0,30.501,206,6,284,18
2017-Feb-06 18:09:02.335,9.813,59,1231,869347328,7957643264,27082690560,0,1,0,0,0,0,0,84.450,230,6,905,396
2017-Feb-06 18:09:12.399,18.291,59,1231,870391808,7957643264,27092246528,0,1,0,0,0,0,0,37.284,221,7,275,17
2017-Feb-06 18:09:22.463,15.656,59,1231,871497728,7957643264,27069571072,0,1,0,0,0,0,0,42.555,281,6,377,26
2017-Feb-06 18:09:32.527,13.021,59,1231,872677376,7957643264,27043540992,0,1,0,0,0,0,0,51.855,296,6,416,55
2017-Feb-06 18:09:42.592,14.881,59,1231,895807488,7974223872,26993225728,0,1,0,0,0,0,0,29.069,260,6,346,7
2017-Feb-06 18:09:52.656,6.510,59,1231,896249856,7974223872,26978791424,0,1,0,0,0,0,0,27.984,115,6,2338,742
2017-Feb-06 18:10:02.720,10.695,59,1231,897171456,7974223872,26968338432,0,1,0,0,0,0,0,23.334,233,6,269,6
2017-Feb-06 18:10:12.784,13.021,59,1231,898093056,7974223872,26946797568,0,1,0,0,0,0,0,24.729,254,7,286,8
2017-Feb-06 18:10:22.848,22.941,59,1231,899899392,7974223872,26907602944,0,1,0,0,0,0,0,33.254,522,6,550,6
2017-Feb-06 18:10:32.912,25.266,59,1231,901451776,7974223872,26857463808,0,1,0,0,0,0,0,37.284,557,6,595,6
2017-Feb-06 18:10:42.977,26.351,59,1231,905261056,7990804480,26805514240,0,1,0,0,0,0,0,35.579,631,6,661,7
2017-Feb-06 18:10:53.038,24.498,59,1231,907284480,8007385088,26744610816,0,1,0,0,0,0,0,44.932,577,6,1125,20
2017-Feb-06 18:11:03.069,22.394,59,1231,908943360,8007385088,26715938816,0,1,0,0,0,0,0,56.783,463,6,990,14
2017-Feb-06 18:11:13.101,27.526,59,1231,910053376,8007385088,26668523520,0,1,0,0,0,0,0,40.299,635,7,666,7
2017-Feb-06 18:11:23.132,23.793,59,1231,911257600,8007385088,26619355136,0,1,0,0,0,0,0,32.212,578,6,606,6
2017-Feb-06 18:11:33.163,24.571,59,1231,913248256,8007385088,26570088448,0,1,0,0,0,0,0,33.456,574,6,597,6
2017-Feb-06 18:11:43.242,24.457,59,1231,915091456,8007385088,26521251840,0,1,0,0,0,0,0,35.938,538,6,580,10
2017-Feb-06 18:11:53.273,27.215,59,1231,963604480,8058548224,26439426048,0,1,0,0,0,0,0,38.277,519,6,553,16
2017-Feb-06 18:12:03.320,24.688,59,1231,965890048,8058548224,26377662464,0,1,0,0,0,0,0,31.543,647,6,669,6
2017-Feb-06 18:12:13.352,22.083,59,1231,967438336,8058548224,26338693120,0,1,0,0,0,0,0,37.966,493,7,521,9
2017-Feb-06 18:12:23.399,24.533,59,1231,969613312,8075128832,26278080512,0,1,0,0,0,0,0,39.306,613,6,689,19
2017-Feb-06 18:12:33.430,32.658,59,1231,972910592,8075128832,26197942272,0,1,0,0,0,0,0,41.543,900,6,924,7
2017-Feb-06 18:12:43.477,28.259,59,1231,975380480,8075128832,26135457792,0,1,0,0,0,0,0,39.772,741,6,760,9
2017-Feb-06 18:12:53.524,24.377,59,1231,977518592,8075128832,26073391104,0,1,0,0,0,0,0,34.027,679,6,712,17
2017-Feb-06 18:13:03.555,30.169,59,1231,979509248,8075128832,26025459712,0,1,0,0,0,0,0,40.143,749,6,770,6
2017-Feb-06 18:13:13.602,27.949,59,1231,981426176,8075128832,25958600704,0,1,0,0,0,0,0,39.617,669,7,694,7
2017-Feb-06 18:13:23.650,22.204,59,1231,982900736,8075128832,25924935680,0,1,0,0,0,0,0,35.425,473,6,499,6
2017-Feb-06 18:13:33.681,14.929,59,1231,985337856,8075128832,25903804416,0,1,0,0,0,0,0,24.748,268,6,297,6
2017-Feb-06 18:13:43.712,13.685,59,1231,986038272,8075128832,25882902528,0,1,0,0,0,0,0,27.702,232,6,371,7
2017-Feb-06 18:13:53.759,11.490,59,1231,986738688,8075128832,25864437760,0,1,0,0,0,0,0,20.363,270,6,302,16
2017-Feb-06 18:14:03.806,17.701,59,1231,987467776,8091709440,25821261824,0,1,0,0,0,0,0,41.170,239,6,575,32
2017-Feb-06 18:14:13.838,22.705,59,1231,988766208,8091709440,25800978432,0,1,0,0,0,0,0,38.899,393,7,425,10
2017-Feb-06 18:14:23.885,13.509,59,1231,985464832,8091709440,25784631296,0,1,0,0,0,0,0,27.816,229,6,400,15
2017-Feb-06 18:14:33.932,15.217,59,1231,986312704,8091709440,25763807232,0,1,0,0,0,0,0,60.268,311,6,451,56
2017-Feb-06 18:14:43.979,15.061,59,1231,987160576,8091709440,25739108352,0,1,0,0,0,0,0,29.059,284,6,354,6
2017-Feb-06 18:14:54.026,13.353,59,1231,987971584,8091709440,25712189440,0,1,0,0,0,0,0,33.561,268,6,1944,552
2017-Feb-06 18:15:04.073,12.111,59,1231,988819456,8091709440,25693614080,0,1,0,0,0,0,0,23.003,275,6,334,17
2017-Feb-06 18:15:14.120,14.595,59,1231,990396416,8091709440,25661456384,0,1,0,0,0,0,0,34.493,295,6,333,13
2017-Feb-06 18:15:24.198,12.073,59,1231,992858112,8091709440,25637683200,0,1,0,0,0,0,0,27.424,289,6,342,9
2017-Feb-06 18:15:34.230,13.219,59,1231,993632256,8091709440,25615503360,0,1,0,0,0,0,0,29.258,250,6,383,38
2017-Feb-06 18:15:44.277,13.819,59,1231,994480128,8091709440,25591365632,0,1,0,0,0,0,0,24.556,279,6,301,6
2017-Feb-06 18:15:54.306,13.222,59,1231,995401728,8091709440,25567756288,0,1,0,0,0,0,0,24.185,295,6,328,16
2017-Feb-06 18:16:04.331,9.492,60,1256,996130816,8093806592,25545953280,0,1,0,0,0,0,0,25.000,1178,7,1683,8
2017-Feb-06 18:16:14.341,3.740,61,1260,996155392,8095903744,25536774144,0,1,0,0,0,0,0,30.805,0,7,519,134
2017-Feb-06 18:16:24.367,0.000,61,1260,996184064,8095903744,25533579264,0,1,0,0,0,0,0,10.373,0,6,36,10
2017-Feb-06 18:16:34.393,0.000,61,1260,996184064,8095903744,25521917952,0,1,0,0,0,0,0,7.728,0,6,117,40
2017-Feb-06 18:16:44.418,0.000,61,1260,996184064,8095903744,25524629504,0,1,0,0,0,0,0,8.662,0,6,30,7
2017-Feb-06 18:16:54.444,0.156,61,1260,996184064,8095903744,25524879360,0,1,0,0,0,0,0,4.461,0,3,39,13
2017-Feb-06 18:17:04.470,0.000,61,1260,996184064,8095903744,25538400256,0,1,0,0,0,0,0,20.954,0,9,580,135
2017-Feb-06 18:17:14.495,3.112,60,1258,996159488,8093806592,25458896896,0,1,0,0,0,0,0,59.699,0,3,38,8
2017-Feb-06 18:17:24.521,0.311,63,1322,996294656,8100098048,25457160192,0,1,0,0,0,0,0,7.106,0,6,37,12
2017-Feb-06 18:17:34.547,0.000,63,1322,996306944,8100098048,25449492480,0,1,0,0,0,0,0,12.863,0,6,120,10
2017-Feb-06 18:17:44.572,0.311,63,1322,996306944,8100098048,25450274816,0,1,0,0,0,0,0,6.795,0,6,134,13
2017-Feb-06 18:17:54.598,0.000,63,1322,996306944,8100098048,25449955328,0,1,0,0,0,0,0,4.772,0,6,147,15
2017-Feb-06 18:18:04.624,0.156,63,1322,996306944,8100098048,25452027904,0,1,0,0,0,0,0,5.394,0,6,145,6
2017-Feb-06 18:18:14.649,2.956,64,1324,996335616,8102195200,25453830144,0,1,0,0,0,0,0,13.952,0,7,56,8
2017-Feb-06 18:18:24.675,0.000,64,1324,996364288,8102195200,25453694976,0,1,0,0,0,0,0,4.927,0,6,62,6
2017-Feb-06 18:18:34.701,0.000,64,1325,996364288,8102195200,25456824320,0,1,0,0,0,0,0,5.550,0,6,84,7
2017-Feb-06 18:18:44.726,0.156,64,1325,996364288,8102195200,25456398336,0,1,0,0,0,0,0,5.705,0,6,65,7
2017-Feb-06 18:18:54.752,0.156,65,1325,996392960,8104292352,25457995776,0,1,0,0,0,0,0,6.017,0,6,85,16
2017-Feb-06 18:19:04.778,0.000,65,1325,996392960,8104292352,25453019136,0,1,0,0,0,0,0,17.531,0,6,187,28
2017-Feb-06 18:19:14.803,3.112,65,1339,996405248,8104292352,25445507072,0,1,0,0,0,0,0,32.624,0,7,154,11
2017-Feb-06 18:19:24.829,89.782,86,1646,1013678080,8196767744,25391079424,0,1,0,0,0,0,0,135.788,285,154,363,156
2017-Feb-06 18:19:34.839,126.234,86,1665,1017417728,8196767744,25335640064,0,1,0,0,0,0,0,210.026,538,16,1654,375
2017-Feb-06 18:19:44.865,121.058,85,1654,1019703296,8196767744,25299738624,0,1,0,0,0,0,0,148.081,594,16,646,72
2017-Feb-06 18:19:54.875,111.740,85,1672,1021792256,8198864896,25228853248,0,1,0,0,0,0,0,155.324,680,16,787,27
2017-Feb-06 18:20:04.900,239.938,98,1868,1168400384,8353083392,25017958400,0,1,0,0,0,0,0,283.921,1039,86,1873,350
2017-Feb-06 18:20:14.910,313.871,105,1999,1405984768,8622170112,24720588800,0,1,0,0,0,0,0,336.883,632,71,688,77
2017-Feb-06 18:20:24.936,222.666,114,2094,1453199360,8687505408,24602877952,0,1,0,0,0,0,0,249.378,894,57,938,65
2017-Feb-06 18:20:34.946,189.195,116,2124,1514516480,8749494272,24451756032,0,1,0,0,0,0,0,213.766,1005,50,1054,55
2017-Feb-06 18:20:44.972,83.558,116,2132,1514971136,8751591424,24363819008,0,1,0,0,0,0,0,107.002,1069,16,1120,19
2017-Feb-06 18:20:54.981,87.751,116,2132,1515565056,8753688576,24265252864,0,1,0,0,0,0,0,102.457,1169,16,1220,28
2017-Feb-06 18:21:04.983,78.294,115,2114,1515941888,8751591424,24181989376,0,1,0,0,0,0,0,97.741,1004,16,1533,72
2017-Feb-06 18:21:14.985,83.441,116,2116,1516482560,8753688576,24095027200,0,1,0,0,0,0,0,102.264,1074,16,1098,19
2017-Feb-06 18:21:24.988,84.533,115,2091,1516945408,8752640000,24005378048,0,1,0,0,0,0,0,104.292,1020,18,1063,20
2017-Feb-06 18:21:34.990,79.386,115,2089,1517428736,8752640000,23947890688,0,1,0,0,0,0,0,104.448,667,16,708,21
2017-Feb-06 18:21:44.992,75.799,111,2020,1517641728,8744251392,24036089856,0,1,0,0,0,0,0,107.099,776,17,841,44
2017-Feb-06 18:21:54.995,102.313,112,2018,1518301184,8748445696,23977451520,0,1,0,0,0,0,0,112.714,913,16,1023,38
2017-Feb-06 18:22:04.997,125.083,112,2018,1519284224,8748445696,23903801344,0,1,0,0,0,0,0,138.292,782,16,961,90
2017-Feb-06 18:22:15.000,125.707,111,2016,1523167232,8746348544,23933198336,0,1,0,0,0,0,0,162.155,772,16,1794,82
2017-Feb-06 18:22:25.002,117.597,111,2014,1527353344,8764370944,23865872384,0,1,0,0,0,0,0,147.494,805,16,1400,90
